,Title1,Title2,Support,Confident,Lift
0,light cream,chicken,0.00453,0.29059,4.84330
1,mushroom cream sauce,escalope,0.00573,0.30069,3.79032
2,pasta,escalope,0.00586,0.37288,4.70018
3,ground beef,herb & pepper,0.016,0.32345,3.29155
4,ground beef,tomato sauce,0.00533,0.37735,3.84014
5,olive oil,whole wheat pasta,0.008,0.27149,4.13022
6,shrimp,pasta,0.00506,0.32203,4.51449
7,light cream,nan,0.00453,0.29059,4.84330
8,shrimp,frozen vegetables,0.00533,0.23255,3.26016
9,spaghetti,cooking oil,0.0048,0.57142,3.28155
10,mushroom cream sauce,nan,0.00573,0.30069,3.79032
11,pasta,nan,0.00586,0.37288,4.70018
12,spaghetti,ground beef,0.00866,0.31100,3.16490
13,milk,frozen vegetables,0.0048,0.20338,3.09416
14,shrimp,frozen vegetables,0.0072,0.30681,3.21837
15,spaghetti,frozen vegetables,0.00573,0.20574,3.12994
16,shrimp,spaghetti,0.006,0.21531,3.01837
17,spaghetti,tomatoes,0.00666,0.23923,3.49757
18,spaghetti,ground beef,0.00533,0.32258,3.28270
19,ground beef,mineral water,0.00666,0.39062,3.97515
20,ground beef,nan,0.016,0.32345,3.29155
21,spaghetti,ground beef,0.0064,0.39344,4.00382
22,milk,ground beef,0.00493,0.22424,3.41139
23,ground beef,nan,0.00533,0.37735,3.84014
24,shrimp,spaghetti,0.006,0.52325,3.00491
25,milk,spaghetti,0.0072,0.20300,3.08834
26,soup,olive oil,0.0052,0.22543,3.42951
27,olive oil,nan,0.008,0.27149,4.13022
28,pasta,nan,0.00506,0.32203,4.51449
29,spaghetti,olive oil,0.00506,0.20105,3.05869
30,shrimp,frozen vegetables,0.00533,0.23255,3.26016
31,spaghetti,cooking oil,0.0048,0.57142,3.28155
32,spaghetti,ground beef,0.00866,0.31100,3.16490
33,milk,spaghetti,0.00453,0.28813,3.02240
34,milk,frozen vegetables,0.0048,0.20338,3.09416
35,shrimp,frozen vegetables,0.0072,0.30681,3.21837
36,spaghetti,frozen vegetables,0.00573,0.20574,3.12994
37,shrimp,spaghetti,0.006,0.21531,3.01837
38,spaghetti,tomatoes,0.00666,0.23923,3.49757
39,spaghetti,ground beef,0.00533,0.32258,3.28270
40,ground beef,nan,0.00666,0.39062,3.97515
41,spaghetti,ground beef,0.0064,0.39344,4.00382
42,milk,ground beef,0.00493,0.22424,3.41139
43,shrimp,spaghetti,0.006,0.52325,3.00491
44,milk,spaghetti,0.0072,0.20300,3.08834
45,soup,olive oil,0.0052,0.22543,3.42951
46,spaghetti,olive oil,0.00506,0.20105,3.05869
47,spaghetti,frozen vegetables,0.00453,0.28813,3.02240
