,Title1,Title2,Support,Confident,Lift
0,"Anime Series, International TV Shows",1 Season,0.00635,0.63636,3.12609
1,"Crime TV Shows, Docuseries",1 Season,0.00454,0.8,3.92994
2,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",1 Season,0.00510,0.72580,3.56547
3,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,0.01033,0.82727,4.06392
4,1 Season,Docuseries,0.00772,0.8,3.92994
5,"International TV Shows, Korean TV Shows, Romantic TV Shows",1 Season,0.00703,0.95384,4.68570
6,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",0.00953,0.89361,4.38983
7,"International TV Shows, Romantic TV Shows, TV Dramas",1 Season,0.00908,0.88888,4.36661
8,1 Season,"International TV Shows, TV Dramas",0.01146,0.83471,4.10046
9,Reality TV,1 Season,0.00737,0.68421,3.36114
10,South Korea,1 Season,0.01566,0.69346,3.40661
11,TV Show,1 Season,0.20356,1.0,3.29147
12,1 Season,Taiwan,0.00760,0.82716,4.06337
13,2 Seasons,Kids' TV,0.00635,0.25454,5.27537
14,2 Seasons,TV Show,0.04825,1.0,3.29147
15,TV Show,3 Seasons,0.02259,1.0,3.29147
16,TV Show,4 Seasons,0.01078,1.0,3.29147
17,TV Show,5 Seasons,0.00737,1.0,3.29147
18,R,Action & Adventure,0.00976,0.67187,7.40660
19,India,"Action & Adventure, Dramas, International Movies",0.00613,0.40909,3.70707
20,"Anime Series, International TV Shows",Japan,0.00851,0.85227,30.6400
21,"Anime Series, International TV Shows",TV Show,0.00999,1.0,3.29147
22,Children & Family Movies,TV-Y,0.00965,0.39534,11.3427
23,Children & Family Movies,TV-Y7,0.00794,0.32558,8.58599
24,"Children & Family Movies, Comedies",PG,0.01123,0.49253,15.1159
25,"Comedies, Dramas, International Movies",India,0.01362,0.43795,3.96864
26,TV Show,"Crime TV Shows, Docuseries",0.00567,1.0,3.29147
27,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV Show,0.00703,1.0,3.29147
28,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,0.01248,1.0,3.29147
29,"December 31, 2019",India,0.00613,0.72972,6.61261
30,TV Show,Docuseries,0.00965,1.0,3.29147
31,Dramas,R,0.00499,0.31884,3.51482
32,"Dramas, Independent Movies",R,0.00579,0.51,5.62212
33,India,"Dramas, Independent Movies, International Movies",0.01226,0.42857,3.88359
34,"Dramas, International Movies, Romantic Movies",India,0.00703,0.34444,3.12126
35,R,"Dramas, Thrillers",0.00510,0.54878,6.04963
36,India,"March 1, 2018",0.00567,0.66666,6.04115
37,"October 1, 2018",India,0.00533,0.66197,5.99860
38,South Korea,"International TV Shows, Korean TV Shows, Romantic TV Shows",0.00715,0.96923,42.8994
39,TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows",0.00737,1.0,3.29147
40,TV Show,"International TV Shows, Romantic TV Shows, TV Comedies",0.01067,1.0,3.29147
41,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",0.01021,1.0,3.29147
42,TV Show,"International TV Shows, TV Comedies, TV Dramas",0.00454,1.0,3.29147
43,TV Show,"International TV Shows, TV Dramas",0.01373,1.0,3.29147
44,TV Show,Kids' TV,0.02497,1.0,3.29147
45,TV-Y,Kids' TV,0.01328,0.53181,15.2581
46,TV-Y7,Kids' TV,0.00976,0.39090,10.3087
47,"Kids' TV, TV Comedies",TV Show,0.01123,1.0,3.29147
48,"Kids' TV, TV Comedies",TV-Y7,0.00488,0.43434,11.4541
49,TV Show,Reality TV,0.01078,1.0,3.29147
50,TV Show,TV Comedies,0.00783,1.0,3.29147
51,TV Show,1 Season,0.00476,1.0,3.29147
52,TV Show,1 Season,0.00510,1.0,3.29147
53,TV Show,1 Season,0.00726,1.0,3.29147
54,TV Show,1 Season,0.01316,1.0,3.29147
55,TV Show,1 Season,0.01896,1.0,3.29147
56,TV Show,2017,0.01998,1.0,3.29147
57,TV Show,1 Season,0.02906,1.0,3.29147
58,2019,1 Season,0.02861,1.0,3.29147
59,TV Show,1 Season,0.03303,1.0,3.29147
60,TV Show,2021,0.02304,1.0,3.29147
61,"Anime Series, International TV Shows",1 Season,0.00510,0.51136,40.9462
62,"Anime Series, International TV Shows",1 Season,0.00635,0.63636,3.12609
63,"Anime Series, International TV Shows",1 Season,0.00613,0.61363,3.20385
64,TV Show,"Crime TV Shows, Docuseries",0.00454,0.8,3.92994
65,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",1 Season,0.00510,0.72580,3.56547
66,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",1 Season,0.00476,0.67741,7.72889
67,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",1 Season,0.00465,0.66129,3.45266
68,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,0.01033,0.82727,4.06392
69,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,0.00772,0.61818,7.05303
70,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,0.00862,0.69090,3.60730
71,TV Show,1 Season,0.00772,0.8,3.92994
72,1 Season,United States,0.00533,0.55294,12.1151
73,1 Season,nan,0.00726,0.75294,3.93118
74,TV Show,India,0.00794,1.0,3.29147
75,India,1 Season,0.00715,0.64948,3.19055
76,South Korea,"International TV Shows, Korean TV Shows, Romantic TV Shows",0.00681,0.92307,58.9163
77,TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows",0.00703,0.95384,4.68570
78,"International TV Shows, Korean TV Shows, Romantic TV Shows",1 Season,0.00647,0.87692,4.57850
79,TV Show,1 Season,0.00953,0.89361,4.38983
80,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",0.00533,0.5,8.24719
81,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",0.00896,0.84042,4.38794
82,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",0.00908,0.88888,4.36661
